DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMA,FECHA,DIA_SEMANA,RANGO_EDAD
CL 110 CR 6E,Motociclista,herido,Choque,M,41,2,2021-02-10,Wednesday,31-45
CL 110 CR 6E,Pasajero,herido,Choque,M,41,1,2021-02-10,Wednesday,31-45
CL 51B CR 4 SUR,Pasajero,herido,Choque,M,61,1,2021-02-10,Wednesday,60+
CL 53 D CR 21,Motociclista,herido,Choque,M,32,1,2021-02-10,Wednesday,31-45
AV MURILLO CR 1,Peaton,herido,Atropello,M,43,1,2021-02-11,Thursday,31-45
AV CIRCUNVALAR CR 15 SUR,Acompa̱ante,herido,Choque,M,26,1,2021-02-11,Thursday,18-30
AV CIRCUNVALAR CR 15 SUR,Motociclista,herido,Choque,M,42,1,2021-02-11,Thursday,31-45
CL 19 CR 7,Ciclista,herido,Choque,M,13,1,2021-02-11,Thursday,<18
CL 19 CR 7,Motociclista,herido,Choque,M,36,1,2021-02-11,Thursday,31-45
AV CIRCUNVALAR CR 28,Motociclista,herido,Choque,M,26,1,2021-02-12,Friday,18-30
CL 70B CR 27,Motociclista,herido,Choque,M,33,1,2021-02-12,Friday,31-45
CL 87 CR 9M,Ciclista,herido,Choque,M,42,1,2021-02-12,Friday,31-45
CR 8 CL 51,Ciclista,herido,Choque,M,25,1,2021-02-12,Friday,18-30
CL 110 CR 43 FRENTE A LA ESTACION DE POLICIA,Conductor,herido,Volcamiento,M,33,1,2021-02-12,Friday,31-45
AV CIRCUNVALAR CR 11 SUR,Peaton,herido,Atropello,M,44,1,2021-02-13,Saturday,31-45
CL 70 CR 58,Pasajero,herido,Choque,F,65,1,2021-02-13,Saturday,60+
CR 13 CL 24,Conductor,herido,Choque,M,37,1,2021-02-13,Saturday,31-45
CR 13 CL 24,Pasajero,herido,Choque,M,24,1,2021-02-13,Saturday,18-30
CR 41 CL 68,Motociclista,herido,Choque,M,53,1,2021-02-13,Saturday,46-60
CR 8B CL 44,Acompa̱ante,herido,Choque,M,22,1,2021-02-13,Saturday,18-30
CL 45 26B 35,Peaton,herido,Atropello,M,66,1,2021-02-15,Monday,60+
CL 75 47 46,Pasajero,herido,Choque,M,24,1,2021-02-15,Monday,18-30
CL 76B CR 42F,Motociclista,herido,Choque,M,34,1,2021-02-15,Monday,31-45
CL 91 CR 59B,Acompa̱ante,herido,Volcamiento,M,31,1,2021-02-15,Monday,31-45
CL 110 CR 9G,Pasajero,herido,Choque,F,32,1,2021-02-16,Tuesday,31-45
CL 110 CR 9G,Pasajero,herido,Choque,F,62,1,2021-02-16,Tuesday,60+
CL 30 CR 20,Motociclista,herido,Choque,M,61,1,2021-02-16,Tuesday,60+
CL 30 CR 20,Pasajero,herido,Choque,M,30,1,2021-02-16,Tuesday,18-30
CR 8 CL 45B,Motociclista,herido,Choque,F,42,1,2021-02-16,Tuesday,31-45
CL 80B 42B 200,Conductor,herido,Choque,M,51,1,2021-02-17,Wednesday,46-60
CL 80B 42B 200,Pasajero,herido,Choque,M,41,1,2021-02-17,Wednesday,31-45
CL 19 CR 3D 30,Ciclista,herido,Choque,M,61,1,2021-02-18,Thursday,60+
CL 30 CR 14,Acompa̱ante,herido,Choque,M,32,1,2021-02-18,Thursday,31-45
CL 30 CR 14,Conductor,herido,Choque,F,45,1,2021-02-18,Thursday,31-45
CL 30 CR 14,Motociclista,herido,Choque,M,21,1,2021-02-18,Thursday,18-30
CL 72 CR 59,Motociclista,herido,Choque,M,21,1,2021-02-18,Thursday,18-30
CL 76 CR 65,Motociclista,herido,Choque,F,30,1,2021-02-18,Thursday,18-30
CR 16 CL 65C,Motociclista,herido,Choque,M,39,1,2021-02-18,Thursday,31-45
VIA GALAPA KM 1,Conductor,herido,Choque,M,40,1,2021-02-19,Friday,31-45
CL 39 CR 24,Motociclista,herido,Choque,M,68,1,2021-02-20,Saturday,60+
CL 48 CR 24,Motociclista,herido,Choque,M,27,1,2021-02-20,Saturday,18-30
CL 75 CR 59,Conductor,herido,Choque,M,39,1,2021-02-20,Saturday,31-45
CL 75 CR 59,Pasajero,herido,Choque,F,69,1,2021-02-20,Saturday,60+
CL 75 CR 59,Pasajero,herido,Choque,M,1,1,2021-02-20,Saturday,<18
CL 94 CR 4B,Motociclista,herido,Choque,M,67,1,2021-02-20,Saturday,60+
CR 21B CL 57,Motociclista,herido,Choque,M,27,1,2021-02-20,Saturday,18-30
CR 24 CL 57,Conductor,herido,Choque,M,51,1,2021-02-20,Saturday,46-60
CR 27 CL 63B,Motociclista,herido,Choque,M,21,1,2021-02-20,Saturday,18-30
CR 59 CL 70,Motociclista,herido,Choque,M,27,1,2021-02-20,Saturday,18-30
AV 110 CR 15 SUR,Motociclista,herido,Choque,M,25,1,2021-02-21,Sunday,18-30
CL 24 CR 13,Acompa̱ante,herido,Choque,F,31,1,2021-02-21,Sunday,31-45
CL 24 CR 13,Acompa̱ante,herido,Choque,F,40,1,2021-02-21,Sunday,31-45
CL 24 CR 13,Acompa̱ante,herido,Choque,M,20,1,2021-02-21,Sunday,18-30
CL 24 CR 13,Acompa̱ante,herido,Choque,M,22,1,2021-02-21,Sunday,18-30
CL 24 CR 13,Acompa̱ante,herido,Choque,M,25,1,2021-02-21,Sunday,18-30
CL 24 CR 13,Conductor,herido,Choque,M,25,1,2021-02-21,Sunday,18-30
CL 24 CR 13,Conductor,herido,Choque,M,33,1,2021-02-21,Sunday,31-45
CL 78A VIA 40,Pasajero,herido,Choque,F,22,1,2021-02-21,Sunday,18-30
CR 44 CL 40,Conductor,herido,Choque,M,67,1,2021-02-21,Sunday,60+
CR 44 CL 40,Pasajero,herido,Choque,M,28,1,2021-02-21,Sunday,18-30
CR 44 CL 40,Pasajero,herido,Choque,M,49,1,2021-02-21,Sunday,46-60
CR 6 CL 91,Motociclista,herido,Choque,M,58,1,2021-02-21,Sunday,46-60
CL 53 CR 3A,Motociclista,herido,Otro,M,22,1,2021-02-21,Sunday,18-30
CL 110 CR 38,Acompa̱ante,herido,Choque,F,29,1,2021-02-22,Monday,18-30
CL 30 CR 4,Conductor,herido,Choque,M,58,1,2021-02-22,Monday,46-60
CL 30 CR 4,Pasajero,herido,Choque,M,23,1,2021-02-22,Monday,18-30
CL 30 CR 4,Pasajero,herido,Choque,M,31,1,2021-02-22,Monday,31-45
CL 30 CR 4,Pasajero,herido,Choque,M,34,1,2021-02-22,Monday,31-45
CL 30 CR 4,Pasajero,herido,Choque,M,45,1,2021-02-22,Monday,31-45
CL 30 CR 4,Pasajero,herido,Choque,M,89,1,2021-02-22,Monday,60+
CL 34 CR 6B,Motociclista,herido,Choque,M,45,1,2021-02-22,Monday,31-45
CL 84 42C 271,Motociclista,herido,Choque,M,29,1,2021-02-22,Monday,18-30
CR 30 ENTRE CL 6 Y 4,Motociclista,herido,Choque,M,27,1,2021-02-22,Monday,18-30
CR 54 CL 70 121,Motociclista,herido,Choque,M,18,1,2021-02-22,Monday,18-30
AV CIRCUNVALAR CL 46,Motociclista,herido,Choque,M,44,1,2021-02-23,Tuesday,31-45
CL 110 CR 38B,Motociclista,herido,Choque,M,23,1,2021-02-23,Tuesday,18-30
CL 17 CR 19,Motociclista,herido,Choque,M,27,1,2021-02-23,Tuesday,18-30
CL 17 CR 8,Acompa̱ante,herido,Choque,M,75,1,2021-02-23,Tuesday,60+
CL 38 CR 35,Pasajero,herido,Choque,M,32,1,2021-02-23,Tuesday,31-45
CL 46A CR 16,Pasajero,herido,Choque,F,51,1,2021-02-23,Tuesday,46-60
CL 47 FRENTE AL 18 89,Motociclista,herido,Choque,M,26,1,2021-02-23,Tuesday,18-30
CR 4 CL 33E,Acompa̱ante,herido,Choque,F,35,1,2021-02-23,Tuesday,31-45
CL 45 CR 21,Pasajero,herido,Choque,M,28,1,2021-02-24,Wednesday,18-30
CL 72 CR 60,Pasajero,herido,Choque,M,31,1,2021-02-24,Wednesday,31-45
CL 72 CR 60,Pasajero,herido,Choque,M,41,1,2021-02-24,Wednesday,31-45
CL 72 CR 60,Pasajero,herido,Choque,M,52,1,2021-02-24,Wednesday,46-60
CL 82 CR 72,Acompa̱ante,herido,Choque,M,31,1,2021-02-24,Wednesday,31-45
CL 82 CR 72,Acompa̱ante,herido,Choque,M,55,1,2021-02-24,Wednesday,46-60
CL 82 CR 72,Conductor,herido,Choque,M,68,1,2021-02-24,Wednesday,60+
CL 94 CR 59,Conductor,herido,Choque,F,36,1,2021-02-24,Wednesday,31-45
CL 68 CR 24B,Motociclista,herido,Choque,M,21,1,2021-02-25,Thursday,18-30
CL 94 CR 58,Conductor,herido,Choque,F,48,1,2021-02-25,Thursday,46-60
VIA 40 CL 84,Motociclista,herido,Choque,M,53,1,2021-02-25,Thursday,46-60
CL 110 CR 43 Y 46,Motociclista,herido,Choque,M,50,1,2021-02-26,Friday,46-60
CL 47 CR 21,Motociclista,herido,Choque,M,30,1,2021-02-26,Friday,18-30
CL 55 CR 53,Pasajero,herido,Choque,M,59,1,2021-02-26,Friday,46-60
CR 16 CL 45D,Acompa̱ante,herido,Choque,M,24,1,2021-02-26,Friday,18-30
CR 16 CL 45D,Conductor,herido,Choque,M,50,1,2021-02-26,Friday,46-60
CR 16 CL 45D,Motociclista,herido,Choque,M,26,1,2021-02-26,Friday,18-30
AV CIRCUNVALAR CL 70,Ciclista,herido,Choque,M,24,1,2021-02-27,Saturday,18-30
CL 111 CR 36,Motociclista,herido,Choque,M,31,1,2021-02-27,Saturday,31-45
CL 40B CR 18 25,Acompa̱ante,herido,Choque,M,47,1,2021-02-27,Saturday,46-60
CL 40B CR 18 25,Motociclista,herido,Choque,M,29,1,2021-02-27,Saturday,18-30
CL 79 CR 53,Motociclista,herido,Choque,M,23,1,2021-02-27,Saturday,18-30
CL 84 CR 68,Motociclista,herido,Choque,M,28,1,2021-02-27,Saturday,18-30
CL 87 CR 21,Acompa̱ante,herido,Choque,M,39,1,2021-02-27,Saturday,31-45
CR  2 CL 35A,Motociclista,herido,Choque,M,26,1,2021-02-28,Sunday,18-30
CR 33 CL 51,Motociclista,herido,Choque,M,26,2,2021-02-28,Sunday,18-30
CR 33 CL 51,Pasajero,herido,Choque,M,32,1,2021-02-28,Sunday,31-45
CR 43 CL 82,Conductor,herido,Choque,F,28,1,2021-02-28,Sunday,18-30
AV CORDIALIDAD CR 21,Motociclista,herido,Choque,M,33,1,2021-03-01,Monday,31-45
CL 45 CR 7D,Motociclista,herido,Choque,M,31,1,2021-03-01,Monday,31-45
CL 45 CR 7D,Pasajero,herido,Choque,M,28,1,2021-03-01,Monday,18-30
CL 64 CR 21B,Acompa̱ante,herido,Choque,M,33,1,2021-03-01,Monday,31-45
CL 64 CR 21B,Conductor,herido,Choque,M,38,1,2021-03-01,Monday,31-45
CL 64 CR 21B,Motociclista,herido,Choque,M,23,1,2021-03-01,Monday,18-30
CL 64 CR 21B,Motociclista,herido,Choque,M,60,1,2021-03-01,Monday,46-60
CL 64 CR 21B,Pasajero,herido,Choque,M,34,1,2021-03-01,Monday,31-45
CL 36 CR 40,Pasajero,herido,Choque,M,29,1,2021-03-02,Tuesday,18-30
CL 36 CR 40,Pasajero,herido,Choque,M,32,2,2021-03-02,Tuesday,31-45
CL 36 CR 40,Pasajero,herido,Choque,M,36,1,2021-03-02,Tuesday,31-45
CL 36 CR 40,Pasajero,herido,Choque,M,50,1,2021-03-02,Tuesday,46-60
CL 53 CR 35,Motociclista,herido,Choque,M,36,1,2021-03-02,Tuesday,31-45
CL 76 CR 58,Motociclista,herido,Choque,M,25,1,2021-03-02,Tuesday,18-30
CL 80B CR 42,Motociclista,herido,Choque,M,64,1,2021-03-02,Tuesday,60+
CL 91 CR 1,Motociclista,herido,Choque,M,27,1,2021-03-02,Tuesday,18-30
CR 25 CL 37,Motociclista,herido,Choque,M,17,1,2021-03-02,Tuesday,<18
CR 25B CL 72,Motociclista,herido,Choque,M,18,1,2021-03-02,Tuesday,18-30
VIA 40 CR 50,Motociclista,herido,Choque,M,27,1,2021-03-02,Tuesday,18-30
CL 74 CR 33,Acompa̱ante,herido,Choque,M,21,1,2021-03-03,Wednesday,18-30
CR 24 CL 31,Acompa̱ante,herido,Choque,F,42,1,2021-03-03,Wednesday,31-45
CR 24 CL 31,Motociclista,herido,Choque,M,46,1,2021-03-03,Wednesday,46-60
CR 24 CL 48,Conductor,herido,Choque,M,23,1,2021-03-03,Wednesday,18-30
CR 24 CL 48,Conductor,herido,Choque,M,32,1,2021-03-03,Wednesday,31-45
CR 24 CL 48,Pasajero,herido,Choque,M,61,1,2021-03-03,Wednesday,60+
CR 38 CL 45 - 70,Peaton,herido,Atropello,M,58,1,2021-03-04,Thursday,46-60
CL 100 CR 12E,Motociclista,herido,Choque,M,29,1,2021-03-04,Thursday,18-30
CL 64 CR 59,Motociclista,herido,Choque,F,35,1,2021-03-04,Thursday,31-45
CR 64 CL 90,Motociclista,herido,Choque,M,30,1,2021-03-04,Thursday,18-30
AV CORDIALIDAD KM 116 VIA GALAPA,Motociclista,herido,Choque,M,22,1,2021-03-05,Friday,18-30
CL 48 CR 24,Motociclista,herido,Choque,M,28,1,2021-03-05,Friday,18-30
CL 45B 22 111,Peaton,herido,Atropello,M,41,1,2021-03-06,Saturday,31-45
CL 45 CR 27,Pasajero,herido,Choque,M,32,1,2021-03-06,Saturday,31-45
CL 102A CR 37,Motociclista,herido,Choque,M,37,1,2021-03-07,Sunday,31-45
CL 76 CR 47,Conductor,herido,Choque,M,66,1,2021-03-07,Sunday,60+
CL 91 CR 53,Motociclista,herido,Choque,M,26,1,2021-03-07,Sunday,18-30
CR 14 CL 36B,Acompa̱ante,herido,Choque,F,40,1,2021-03-07,Sunday,31-45
CR 14 CL 36B,Conductor,herido,Choque,M,54,1,2021-03-07,Sunday,46-60
CR 14 CL 36B,Motociclista,herido,Choque,M,29,1,2021-03-07,Sunday,18-30
CR 2D 94 31,Motociclista,herido,Choque,M,21,1,2021-03-07,Sunday,18-30
CR 2D 94 31,Motociclista,herido,Choque,M,51,1,2021-03-07,Sunday,46-60
CR 2D 94 31,Pasajero,herido,Choque,M,18,1,2021-03-07,Sunday,18-30
AV 110 CL 110,Motociclista,herido,Choque,M,25,1,2021-03-08,Monday,18-30
AV 110 CL 110,Pasajero,herido,Choque,F,25,1,2021-03-08,Monday,18-30
CL 53 CR 2A,Motociclista,herido,Choque,M,37,1,2021-03-08,Monday,31-45
CL 53 CR 2A,Pasajero,herido,Choque,M,29,1,2021-03-08,Monday,18-30
CL 53 CR 50,Ciclista,herido,Choque,M,21,1,2021-03-08,Monday,18-30
CL 64 CR 59,Pasajero,herido,Choque,M,48,1,2021-03-08,Monday,46-60
CL 71 CR 42 Y 43,Motociclista,herido,Choque,M,55,1,2021-03-08,Monday,46-60
CR 45 CL 37,Conductor,herido,Choque,M,37,1,2021-03-08,Monday,31-45
VIA 40 85 1495,Conductor,herido,Choque,F,65,1,2021-03-08,Monday,60+
VIA 40 85 1495,Conductor,herido,Choque,M,41,1,2021-03-08,Monday,31-45
VIA 40 85 1495,Pasajero,herido,Choque,M,24,1,2021-03-08,Monday,18-30
CL 49 CR 2G3,Motociclista,herido,Choque,M,41,1,2021-03-09,Tuesday,31-45
CL 83 CR 28A,Motociclista,herido,Choque,M,19,1,2021-03-09,Tuesday,18-30
CR 46 CL 59,Acompa̱ante,herido,Choque,F,36,1,2021-03-09,Tuesday,31-45
CR 46 CL 59,Conductor,herido,Choque,M,28,1,2021-03-09,Tuesday,18-30
CR 46 CL 59,Motociclista,herido,Choque,F,39,1,2021-03-09,Tuesday,31-45
CR 46 CL 59,Pasajero,herido,Choque,F,23,1,2021-03-09,Tuesday,18-30
CR 46 CL 59,Pasajero,herido,Choque,F,26,1,2021-03-09,Tuesday,18-30
CR 46 CL 59,Pasajero,herido,Choque,F,29,1,2021-03-09,Tuesday,18-30
CR 22 DIAG 78,Acompa̱ante,herido,Otro,M,27,1,2021-03-09,Tuesday,18-30
CR 22 DIAG 78,Motociclista,muerto,Otro,M,31,1,2021-03-09,Tuesday,31-45
CL 30 CR 13C,Motociclista,herido,Choque,M,37,1,2021-03-10,Wednesday,31-45
CL 30 CR 13C,Motociclista,herido,Choque,M,42,1,2021-03-10,Wednesday,31-45
CL 72 CR 25B,Motociclista,herido,Choque,M,25,1,2021-03-10,Wednesday,18-30
CR 50 CL 46,Motociclista,herido,Choque,M,25,1,2021-03-10,Wednesday,18-30
CR 6J 66 100,Motociclista,herido,Choque,M,32,1,2021-03-10,Wednesday,31-45
CR 21 CL 37,Motociclista,herido,Otro,M,29,1,2021-03-10,Wednesday,18-30
CL 45 CR 19,Acompa̱ante,herido,Choque,M,43,1,2021-03-11,Thursday,31-45
CL 45 CR 19,Motociclista,herido,Choque,M,33,1,2021-03-11,Thursday,31-45
CR 42F CL 75B,Conductor,herido,Choque,M,59,1,2021-03-11,Thursday,46-60
CR 45 CL 80,Peaton,herido,Choque,M,38,1,2021-03-11,Thursday,31-45
VIA 40 54 58,Conductor,herido,Choque,M,30,1,2021-03-11,Thursday,18-30
VIA 40 54 58,Conductor,herido,Choque,M,41,1,2021-03-11,Thursday,31-45
VIA 40 54 58,Conductor,herido,Choque,M,54,1,2021-03-11,Thursday,46-60
VIA 40 54 58,Pasajero,herido,Choque,M,22,1,2021-03-11,Thursday,18-30
AV 110 CL 73,Motociclista,herido,Choque,M,39,1,2021-03-12,Friday,31-45
CL 110 CR 40,Ciclista,herido,Choque,M,25,1,2021-03-12,Friday,18-30
CL 17 CR 20,Pasajero,herido,Choque,M,41,1,2021-03-12,Friday,31-45
CL 18 CR 14,Conductor,herido,Choque,M,26,1,2021-03-12,Friday,18-30
CL 18 CR 14,Pasajero,herido,Choque,M,56,1,2021-03-12,Friday,46-60
CL 18 CR 14,Pasajero,herido,Choque,M,80,1,2021-03-12,Friday,60+
CL 74 CR 41C,Conductor,herido,Choque,M,26,1,2021-03-12,Friday,18-30
CL 80 CR 42H,Pasajero,herido,Choque,F,25,1,2021-03-12,Friday,18-30
CR 15 CL 24,Ciclista,herido,Choque,M,18,1,2021-03-12,Friday,18-30
VIA 40 71 197,Motociclista,herido,Choque,M,25,1,2021-03-12,Friday,18-30
CL 110 CR 12E-18,Conductor,herido,Choque,M,35,1,2021-03-13,Saturday,31-45
CL 110 CR 12E-18,Motociclista,herido,Choque,M,25,1,2021-03-13,Saturday,18-30
CL 110 CR 12E-18,Pasajero,herido,Choque,M,31,1,2021-03-13,Saturday,31-45
CR 23 CL 63B,Ciclista,herido,Choque,M,28,1,2021-03-13,Saturday,18-30
CR 29 CL 43,Motociclista,herido,Choque,M,21,1,2021-03-13,Saturday,18-30
CR 44 CL 72,Ciclista,herido,Choque,M,62,1,2021-03-13,Saturday,60+
CR 50 CL 48,Motociclista,herido,Choque,M,24,1,2021-03-13,Saturday,18-30
CL 72 VIA 40 Y AV DEL RIO,Pasajero,herido,Choque,M,53,1,2021-03-14,Sunday,46-60
CL 72 VIA 40 Y AV DEL RIO,Pasajero,herido,Choque,M,75,1,2021-03-14,Sunday,60+
CR 25 CL 39,Conductor,herido,Choque,M,31,1,2021-03-14,Sunday,31-45
CR 25 CL 39,Motociclista,herido,Choque,M,20,1,2021-03-14,Sunday,18-30
NUEVO PUENTE PUMAREJO KM 1 BARRANQULLA SANTA MARTA,Motociclista,herido,Choque,M,60,1,2021-03-14,Sunday,46-60
CL 45 CR 33,Motociclista,herido,Volcamiento,M,23,1,2021-03-14,Sunday,18-30
CL 68 CR 29,Motociclista,herido,Choque,M,30,1,2021-03-15,Monday,18-30
CR 58 CL 91,Motociclista,herido,Choque,M,24,1,2021-03-15,Monday,18-30
CR 8 VIA 11,Motociclista,herido,Choque,M,47,1,2021-03-15,Monday,46-60
VIA 40 CL 45,Acompa̱ante,herido,Choque,M,28,1,2021-03-15,Monday,18-30
VIA 40 CL 45,Motociclista,herido,Choque,M,35,1,2021-03-15,Monday,31-45
AV 110 CR 37,Pasajero,herido,Choque,F,21,1,2021-03-16,Tuesday,18-30
AV 110 CR 37,Pasajero,herido,Choque,M,35,1,2021-03-16,Tuesday,31-45
AV 110 CR 37,Pasajero,herido,Choque,M,47,1,2021-03-16,Tuesday,46-60
CL 30 CR 32,Motociclista,herido,Choque,M,22,1,2021-03-16,Tuesday,18-30
CL 33 CR 23,Acompa̱ante,herido,Choque,M,45,1,2021-03-16,Tuesday,31-45
CR 21 CL 39,Pasajero,herido,Choque,M,38,2,2021-03-16,Tuesday,31-45
CR 21 CL 39,Pasajero,herido,Choque,M,73,1,2021-03-16,Tuesday,60+
CR 53 CL 100 Y 99,Motociclista,herido,Choque,M,33,1,2021-03-16,Tuesday,31-45
CL 45 CR 27,Motociclista,herido,Choque,M,26,1,2021-03-17,Wednesday,18-30
CL 51B CR 4 SUR,Motociclista,herido,Choque,M,21,1,2021-03-17,Wednesday,18-30
CL 51B CR 4 SUR,Motociclista,herido,Choque,M,36,1,2021-03-17,Wednesday,31-45
CR 45 CL 80,Motociclista,herido,Choque,M,20,1,2021-03-17,Wednesday,18-30
CR 38 CL 10,Peaton,herido,Atropello,M,64,1,2021-03-18,Thursday,60+
CL 72 CR 66,Motociclista,herido,Choque,M,27,1,2021-03-18,Thursday,18-30
CL 87 CR 9,Ciclista,herido,Choque,M,39,1,2021-03-18,Thursday,31-45
CR 40 CL 33,Peaton,herido,Atropello,M,66,1,2021-03-19,Friday,60+
CL 100 CR 51B,Pasajero,herido,Choque,F,34,1,2021-03-19,Friday,31-45
CL 110 CR 53,Motociclista,herido,Choque,M,24,1,2021-03-19,Friday,18-30
CL 87 CR 9C,Acompa̱ante,herido,Choque,M,20,1,2021-03-19,Friday,18-30
CR 30 CL 43,Motociclista,herido,Choque,M,22,1,2021-03-19,Friday,18-30
CR 45 CL 47,Ciclista,herido,Choque,M,27,1,2021-03-19,Friday,18-30
CL 30 CR 15,Motociclista,herido,Choque,M,29,1,2021-03-20,Saturday,18-30
CL 47 CR 25,Motociclista,herido,Choque,M,27,1,2021-03-20,Saturday,18-30
CL 47 CR 25,Pasajero,herido,Choque,M,58,1,2021-03-20,Saturday,46-60
CL 98 CR 15 SUR,Ciclista,herido,Choque,M,16,1,2021-03-20,Saturday,<18
CR 46 CL 91,Motociclista,herido,Choque,M,20,1,2021-03-20,Saturday,18-30
CR 71 CL 76,Motociclista,herido,Choque,M,30,1,2021-03-20,Saturday,18-30
CR 71 CL 76,Pasajero,herido,Choque,F,31,1,2021-03-20,Saturday,31-45
VIA 40 CL 77,Acompa̱ante,herido,Choque,F,30,1,2021-03-20,Saturday,18-30
VIA 40 CL 77,Motociclista,herido,Choque,M,32,1,2021-03-20,Saturday,31-45
CL 110 CR 43 80,Acompa̱ante,herido,Choque,F,32,1,2021-03-21,Sunday,31-45
CL 110 CR 43 80,Conductor,herido,Choque,M,63,1,2021-03-21,Sunday,60+
CL 80 33 155,Acompa̱ante,herido,Choque,M,28,1,2021-03-21,Sunday,18-30
CL 80 33 155,Motociclista,herido,Choque,M,31,1,2021-03-21,Sunday,31-45
CL 80 33 155,Motociclista,herido,Choque,M,33,1,2021-03-21,Sunday,31-45
CR 21B 65B 24,Conductor,herido,Choque,M,44,1,2021-03-21,Sunday,31-45
CR 21B 65C 22,Motociclista,herido,Choque,M,22,1,2021-03-21,Sunday,18-30
CL 84 CR 51B,Motociclista,herido,Choque,M,33,1,2021-03-22,Monday,31-45
CR 22 CL 53C,Motociclista,herido,Choque,M,54,1,2021-03-22,Monday,46-60
CL 76 CR 8C,Motociclista,herido,Atropello,M,27,1,2021-03-23,Tuesday,18-30
CL 76 CR 8C,Peaton,herido,Atropello,M,42,1,2021-03-23,Tuesday,31-45
CL 31 CR29,Motociclista,herido,Choque,M,30,1,2021-03-23,Tuesday,18-30
CR 50 CL 61,Motociclista,herido,Choque,M,42,1,2021-03-23,Tuesday,31-45
CL 30 CR 25 Y CR 26,Peaton,herido,Atropello,M,47,1,2021-03-24,Wednesday,46-60
CR 2 CL 90,Conductor,herido,Choque,M,40,1,2021-03-24,Wednesday,31-45
VIA 40 73 50,Acompa̱ante,herido,Choque,M,28,1,2021-03-24,Wednesday,18-30
VIA 40 73 50,Motociclista,herido,Choque,M,28,1,2021-03-24,Wednesday,18-30
CR 51B CL 94,Peaton,herido,Atropello,M,41,1,2021-03-25,Thursday,31-45
CR 9 CL 11,Pasajero,muerto,Atropello,M,72,1,2021-03-25,Thursday,60+
VIA 40 CR 51,Pasajero,herido,Caida Ocupante,M,53,1,2021-03-25,Thursday,46-60
CL 110 CR 46,Motociclista,herido,Choque,M,36,1,2021-03-25,Thursday,31-45
CR 14 40 32,Motociclista,herido,Choque,M,36,1,2021-03-25,Thursday,31-45
CR 21 CL 47,Conductor,herido,Choque,M,37,1,2021-03-25,Thursday,31-45
CR 21 CL 47,Pasajero,herido,Choque,F,24,1,2021-03-25,Thursday,18-30
CR 21 CL 47,Pasajero,herido,Choque,F,35,1,2021-03-25,Thursday,31-45
CR 21 CL 47,Pasajero,herido,Choque,F,62,1,2021-03-25,Thursday,60+
CR 21 CL 47,Pasajero,herido,Choque,M,24,1,2021-03-25,Thursday,18-30
CR 21 CL 47,Pasajero,herido,Choque,M,29,1,2021-03-25,Thursday,18-30
CR 21 CL 47,Pasajero,herido,Choque,M,30,1,2021-03-25,Thursday,18-30
CR 21 CL 47,Pasajero,herido,Choque,M,61,3,2021-03-25,Thursday,60+
CR 8 CL 40,Motociclista,herido,Choque,M,40,1,2021-03-25,Thursday,31-45
CR 8 CL 40,Pasajero,herido,Choque,M,27,1,2021-03-25,Thursday,18-30
CL 40 CR 14,Acompa̱ante,herido,Choque,M,29,1,2021-03-26,Friday,18-30
CL 40 CR 14,Motociclista,herido,Choque,M,29,1,2021-03-26,Friday,18-30
CR 43 CL 110,Motociclista,herido,Choque,M,60,1,2021-03-26,Friday,46-60
CR 53 CL106,Conductor,herido,Choque,M,62,1,2021-03-26,Friday,60+
CL 110 CR 6J,Motociclista,herido,Choque,M,34,1,2021-03-27,Saturday,31-45
CL 13 CR 24,Pasajero,herido,Choque,M,31,1,2021-03-27,Saturday,31-45
CR 43 CL 65B,Motociclista,herido,Choque,M,22,1,2021-03-27,Saturday,18-30
CR 43 CL 65B,Motociclista,herido,Choque,M,48,1,2021-03-27,Saturday,46-60
CL 31 CR 24,Pasajero,herido,Choque,F,49,1,2021-03-28,Sunday,46-60
CL 41 CR 19,Motociclista,herido,Choque,M,39,1,2021-03-28,Sunday,31-45
CL 41 CR 19,Pasajero,herido,Choque,M,61,1,2021-03-28,Sunday,60+
CR 13 CL 111C-23,Conductor,herido,Volcamiento,M,36,1,2021-03-28,Sunday,31-45
CL 48 CR 44,Motociclista,herido,Choque,M,34,1,2021-03-29,Monday,31-45
CL 87 CR 51B ENTRADA PARQUEADERO CENTRO COMERCIAL VIVA,Peaton,herido,Atropello,M,31,1,2021-03-30,Tuesday,31-45
CL 110 CR 38,Motociclista,herido,Choque,M,45,1,2021-03-30,Tuesday,31-45
CL 72 CR 46,Motociclista,herido,Choque,M,26,1,2021-03-30,Tuesday,18-30
CL 72 CR 53,Motociclista,herido,Choque,M,40,1,2021-03-30,Tuesday,31-45
CL 30 CR 38,Peaton,herido,Atropello,M,39,1,2021-03-31,Wednesday,31-45
CL 43 CR 50,Motociclista,herido,Choque,M,56,1,2021-03-31,Wednesday,46-60
AV 110 CR 15 SUR,Motociclista,herido,Choque,M,24,1,2021-04-01,Thursday,18-30
CL 99 CR 16 SUR,Motociclista,herido,Choque,M,29,1,2021-04-01,Thursday,18-30
